TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.2778,Plane,3.7266,0.0000,-3.6806,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2384,1.4470,-0.1291,-0.0687,0.9565,-0.1836,-0.2163
2025-06-04_20:49:54.2905,Plane,3.6915,0.0000,-3.6719,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2371,1.4469,-0.1288,-0.0696,0.9548,-0.1838,-0.2232
2025-06-04_20:49:54.3016,Plane,3.6824,0.0000,-3.7217,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2357,1.4466,-0.1287,-0.0712,0.9529,-0.1839,-0.2305
2025-06-04_20:49:54.3126,Plane,3.6271,0.0000,-3.6419,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2341,1.4462,-0.1286,-0.0692,0.9506,-0.1853,-0.2392
2025-06-04_20:49:54.3237,Plane,3.6049,0.0000,-3.6398,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2336,1.4462,-0.1281,-0.0726,0.9496,-0.1851,-0.2425
2025-06-04_20:49:54.3343,Plane,3.5353,0.0000,-3.5771,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2317,1.4458,-0.1275,-0.0730,0.9465,-0.1861,-0.2532
2025-06-04_20:49:54.3494,Plane,3.4692,0.0000,-3.5056,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2298,1.4454,-0.1270,-0.0766,0.9429,-0.1873,-0.2646
2025-06-04_20:49:54.3563,Plane,3.4057,0.0000,-3.4259,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2278,1.4451,-0.1261,-0.0798,0.9387,-0.1889,-0.2770
2025-06-04_20:49:54.3681,Plane,3.3271,0.0000,-3.3441,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2256,1.4445,-0.1250,-0.0757,0.9351,-0.1907,-0.2891
2025-06-04_20:49:54.3792,Plane,3.2591,0.0000,-3.2478,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2232,1.4439,-0.1240,-0.0789,0.9298,-0.1932,-0.3031
2025-06-04_20:49:54.4015,Cube (8),3.1000,0.2600,-2.6631,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2177,1.4425,-0.1208,-0.0792,0.9164,-0.1988,-0.3381
2025-06-04_20:49:54.4122,Cube (8),3.1000,0.3350,-2.4222,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2153,1.4417,-0.1193,-0.0799,0.9101,-0.2008,-0.3536
2025-06-04_20:49:54.4236,Cube (8),3.1000,0.6399,-1.6425,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2129,1.4411,-0.1175,-0.0803,0.9033,-0.2034,-0.3690
2025-06-04_20:49:54.4346,Cube (8),3.1000,0.7936,-1.2214,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.6400,0.8000,4.2104,1.4404,-0.1158,-0.0830,0.8954,-0.2067,-0.3855
